"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","MHL-017.IC","","COV         1 minute"
"Point_2:","MHX1-017.IC","","COV         1 minute"
"Point_3:","MTX1-017.IC","","COV         1 minute"
"Point_4:","MVD1-017.IC","","COV         1 minute"
"Point_5:","MVV1-017.IC","","COV         1 minute"
"Point_6:","TOTKWEV-MB.IC","","COV         15 minutes"
"Point_7:","TOTKWEV.IC","","COV         30 minutes"
"Point_8:","MDI.001-650.IC","","COV         30 minutes"
"Point_9:","MDICOR.GM","","COV         15 minutes"
"Point_10:","MDE.EFDP.IC","","COV         15 minutes"
"Point_11:","MTXLOY","","COV         15 minutes"
"Point_12:","DEMANDE.ELEC.MOYEN60S.BS","","COV         15 minutes"
"Time Interval:","1 Hours"
"Date Range:","1/1/2019 00:00:00 - 4/9/2019 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12"
"1/4/2019","20:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","700","No Data","4375.24"
"1/4/2019","21:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","700","No Data","4185.17"
"1/4/2019","22:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","700","No Data","4147.94"
"1/4/2019","23:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","700","No Data","3924.19"
"1/5/2019","00:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","700","No Data","3712.84"
"1/5/2019","01:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","700","No Data","3860.79"
"1/5/2019","02:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","3848.65"
"1/5/2019","03:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","3783.47"
"1/5/2019","04:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","3734.93"
"1/5/2019","05:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","3830.79"
